Sources,Max_Capacity_MW,Investment_per_MW,O&M_per_MW_yr,Lifetime,CO2_per_MWh,Fuel_Cost,Efficiency,Merit_Order,Storage_MWh
Wind,50,1200000,50000,25,12,0,1,1,0
Solar,50,770000,7770,25,5,0,1,1,0
Biomass,2,3000000,90000,25,120,50,0.4,2,0
Biogas,2,4050000,162000,25,100,0,0.5,2,0
Geothermal,5,5000000,115000,30,15,0,1,1,0
Hydro,4,4417000,154000,40,8,0,1,1,0
WTE,1,8000000,250000,25,400,20,1,2,0
BESS,10,600000,20000,12,0,0,0.9,3,40
PHS,10,1000000,35000,25,0,0,0.8,3,10
Hydrogen,10,1500000,50000,15,0,0,0.3,3,0
Gas,100,1000000,40000,25,400,100,0.55,4,0
